2025-04-13 14:08:21,745 - DEBUG - Dokument 135: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 136: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 137: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 138: data=2025-04-03, datasp=2025-04-03, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 139: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 140: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 141: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 142: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 143: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 144: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,745 - DEBUG - Dokument 145: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 146: data=2025-04-04, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 147: data=2025-04-04, datasp=2025-03-31, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 148: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 149: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 150: data=2025-04-04, datasp=2025-04-04, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 151: data=2025-04-04, datasp=2025-02-06, zmieniac_konto=False, zmieniac_okres=True, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 152: data=2025-04-07, datasp=2025-04-07, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 153: data=2025-04-07, datasp=2025-04-07, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
2025-04-13 14:08:21,746 - DEBUG - Dokument 154: data=2025-04-07, datasp=2025-04-07, zmieniac_konto=False, zmieniac_okres=False, jest_konto_731=False, konto=None
